param alfaIsc := 0.095093355262772 ;
param alfaImp := 0.136322130317003 ;
param betaVoc := -0.427364225893733 ;
param betaVmp := -0.402343594149151 ;
param deltaPmp := -0.287196843626337 ;
param M := 18 ;
#T(°C)	S(W/m2)	Isc(A)	Voc(V)	Imp(A)	Vmp(V)
param: T S Isc Voc Imp Vmp :=
1	16.0000	98.2700	0.363000	20.570000	0.299000	15.990000
2	25.3100	98.7200	0.372000	19.400000	0.301000	15.300000
3	14.2900	201.2500	0.793000	21.880000	0.649000	16.740000
4	25.4000	200.7800	0.806000	20.560000	0.661000	15.890000
5	25.4100	400.6600	1.711000	21.650000	1.405000	16.250000
6	49.6900	397.9200	1.727000	19.140000	1.435000	14.550000
7	25.4200	600.3500	2.653000	22.250000	2.148000	16.430000
8	49.7400	599.9500	2.702000	19.840000	2.235000	14.750000
9	65.1800	599.7200	2.733000	18.280000	2.267000	13.520000
10	25.4000	799.1100	3.607000	22.670000	2.904000	16.370000
11	50.1000	800.5600	3.701000	20.280000	3.040000	14.830000
12	64.8600	799.9200	3.742000	18.810000	3.076000	13.710000
13	25.3800	1000.6700	4.588000	22.990000	3.672000	16.340000
14	49.9000	1000.3300	4.707000	20.680000	3.831000	14.920000
15	65.0500	1000.8000	4.765000	19.190000	3.896000	13.760000
16	25.4100	1100.5000	5.075000	23.120000	4.064000	16.250000
17	50.3300	1097.6500	5.199000	20.780000	4.223000	14.880000
18	64.6100	1099.2800	5.269000	19.400000	4.296000	13.820000
;
